PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
1630549,Day'Ron Sharpe,1610612751,BKN,62,17,45,1160.0,540,42,0.5,24,0.229,3,0.143,401,0.671,35,0.55,70,0.66,0.614
1628368,De'Aaron Fox,1610612759,SAS,61,46,15,1916.0,1162,452,0.557,203,0.393,361,0.406,45,0.724,2,0.5,23,0.688,0.554
1629631,De'Andre Hunter,1610612758,SAC,45,24,21,1175.0,615,146,0.478,193,0.333,134,0.397,51,0.688,0,0.0,35,0.737,0.49
1629001,De'Anthony Melton,1610612744,GSW,38,19,19,866.0,499,199,0.507,148,0.36,47,0.224,36,0.529,4,1.0,10,0.556,0.487
201599,DeAndre Jordan,1610612740,NOP,10,6,4,163.0,41,0,0.0,0,0.0,0,0.0,35,0.75,1,0.0,6,1.0,0.696
1630610,DeJon Jarreau,1610612763,MEM,3,1,2,57.0,15,6,0.667,0,0.0,2,0.25,4,1.0,0,0.0,0,0.0,0.5
201942,DeMar DeRozan,1610612758,SAC,69,17,52,2184.0,1283,391,0.556,187,0.418,462,0.457,47,0.76,121,0.494,59,0.524,0.521
1629731,Dean Wade,1610612739,CLE,55,33,22,1235.0,322,20,0.412,196,0.365,13,0.357,47,0.594,0,0.0,25,0.692,0.561
1629028,Deandre Ayton,1610612747,LAL,61,39,22,1682.0,759,32,0.6,72,0.5,8,0.25,588,0.715,53,0.625,139,0.538,0.669
1627749,Dejounte Murray,1610612740,NOP,9,5,4,246.0,175,76,0.66,27,0.45,71,0.552,2,0.5,0,0.0,2,1.0,0.619
1630166,Deni Avdija,1610612757,POR,54,27,27,1802.0,1305,522,0.5,237,0.376,169,0.338,66,0.65,10,0.667,37,0.565,0.521
203471,Dennis Schröder,1610612739,CLE,59,21,38,1479.0,673,290,0.439,170,0.361,149,0.354,5,0.5,0,0.0,2,0.5,0.467
1641726,Dereck Lively II,1610612742,DAL,7,3,4,115.0,30,0,0.0,0,0.0,0,0.0,28,0.733,0,0.0,2,0.25,0.611
1642852,Derik Queen,1610612740,NOP,70,25,45,1731.0,803,294,0.47,79,0.333,86,0.35,199,0.675,35,0.343,68,0.628,0.498
1627884,Derrick Jones Jr.,1610612746,LAC,38,18,20,1039.0,420,50,0.392,134,0.366,12,0.278,107,0.686,0,0.0,30,0.688,0.584
1628401,Derrick White,1610612738,BOS,66,44,22,2260.0,1147,323,0.454,285,0.328,462,0.367,36,0.615,0,0.0,12,0.833,0.49
1630217,Desmond Bane,1610612753,ORL,69,38,31,2356.0,1419,520,0.536,260,0.438,325,0.395,93,0.672,0,0.0,26,0.571,0.559
1626164,Devin Booker,1610612756,PHX,54,32,22,1810.0,1391,536,0.515,139,0.384,542,0.413,52,0.486,15,0.333,28,0.619,0.502
1642269,Devin Carter,1610612758,SAC,27,4,23,386.0,183,70,0.436,18,0.143,18,0.188,34,0.75,0,0.0,6,0.75,0.433
1630170,Devin Vassell,1610612759,SAS,56,43,13,1724.0,798,93,0.448,405,0.414,209,0.441,12,0.556,0,0.0,11,0.6,0.548
1628415,Dillon Brooks,1610612756,PHX,50,30,20,1530.0,1044,350,0.505,229,0.359,436,0.43,40,0.577,52,0.579,15,0.7,0.507
1641794,Dillon Jones,1610612752,NYK,5,4,1,24.0,7,4,0.0,3,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0.3
1627734,Domantas Sabonis,1610612758,SAC,19,3,16,564.0,301,22,0.556,35,0.349,2,0.5,177,0.632,15,0.313,99,0.689,0.554
1631230,Dominick Barlow,1610612755,PHI,58,32,26,1415.0,478,80,0.468,73,0.286,4,0.125,187,0.69,2,1.0,23,0.526,0.568
1642270,Donovan Clingan,1610612757,POR,65,33,32,1774.0,794,6,0.25,204,0.356,8,0.188,500,0.647,19,0.875,45,0.433,0.582
1628378,Donovan Mitchell,1610612739,CLE,61,38,23,2043.0,1711,581,0.577,281,0.416,565,0.394,53,0.649,0,0.0,24,0.846,0.561
1628978,Donte DiVincenzo,1610612750,MIN,70,43,27,2155.0,859,96,0.424,506,0.394,140,0.375,21,0.563,0,0.0,6,1.0,0.562
1627827,Dorian Finney-Smith,1610612745,HOU,32,20,12,562.0,106,9,0.667,72,0.279,3,0.2,18,0.5,0,0.0,0,0.0,0.432
203926,Doug McDermott,1610612758,SAC,18,4,14,220.0,82,0,0.0,72,0.4,6,0.25,2,1.0,0,0.0,2,1.0,0.571
1642962,Drake Powell,1610612751,BKN,52,13,39,1011.0,315,95,0.461,101,0.291,67,0.441,18,0.583,0,0.0,8,0.667,0.49
203110,Draymond Green,1610612744,GSW,56,27,29,1524.0,481,70,0.58,271,0.333,6,0.231,72,0.537,0,0.0,21,0.45,0.518
1629234,Drew Eubanks,1610612758,SAC,42,10,32,552.0,219,13,0.455,19,0.375,16,0.667,141,0.653,4,0.667,47,0.488,0.599
1641809,Drew Peterson,1610612766,CHA,6,1,5,64.0,5,3,0.333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.125
1631166,Drew Timme,1610612747,LAL,21,13,8,179.0,72,10,0.625,25,0.45,7,0.429,22,0.833,6,0.375,4,0.667,0.667
1630696,Dru Smith,1610612748,MIA,66,36,30,1115.0,386,145,0.481,101,0.315,35,0.395,40,0.5,0,0.0,19,0.692,0.476
1629130,Duncan Robinson,1610612765,DET,67,49,18,1847.0,796,92,0.486,451,0.414,127,0.369,29,0.933,0,0.0,7,0.6,0.598
1641871,Duop Reath,1610612757,POR,32,16,16,258.0,94,9,0.429,69,0.418,0,0.0,14,0.6,3,0.5,6,0.6,0.601
203939,Dwight Powell,1610612742,DAL,53,16,37,713.0,168,10,0.8,5,0.4,0,0.0,93,0.66,0,0.0,35,0.632,0.673
1642928,Dylan Cardwell,1610612758,SAC,32,9,23,662.0,165,0,0.0,4,0.4,2,0.5,141,0.663,1,0.0,22,0.5,0.592
1642844,Dylan Harper,1610612759,SAS,57,43,14,1265.0,635,276,0.547,124,0.372,75,0.35,36,0.552,0,0.0,17,0.5,0.527
1630700,Dyson Daniels,1610612737,ATL,65,37,28,2164.0,756,239,0.455,50,0.198,44,0.5,241,0.674,0,0.0,90,0.71,0.522
1630604,E.J. Liddell,1610612751,BKN,16,2,14,122.0,45,12,0.6,23,0.381,0,0.0,7,1.0,0,0.0,1,0.0,0.597
1642856,Egor Dëmin,1610612751,BKN,52,14,38,1308.0,536,60,0.391,253,0.409,141,0.329,17,0.583,2,1.0,13,0.75,0.537
1641989,Elijah Harkless,1610612762,UTA,21,5,16,380.0,129,30,0.375,45,0.294,14,0.25,6,0.5,0,0.0,0,0.0,0.425
